	mt	wt	WW1	WD1
GRMZM2G113866	24.3379	8.53003	8.53003	24.3379
GRMZM2G315734	0	0.332028	0.332028	0
GRMZM5G816031	0	0	0	0
AC233899.1_FG002	4.72441	5.341	5.341	4.72441
GRMZM2G091560	8.52622	9.5701	9.5701	8.52622
GRMZM2G069264	0	0	0	0
GRMZM2G104938	0.549341	2.91083	2.91083	0.549341
GRMZM2G019641	2.82356	0	0	2.82356
AC208916.3_FG003	0	0	0	0
GRMZM2G098011	10.7973	8.63566	8.63566	10.7973
GRMZM5G882446	6.34131	2.18242	2.18242	6.34131
GRMZM2G304657	14.9719	8.77125	8.77125	14.9719
GRMZM2G132095	1.43484	0.0529507	0.0529507	1.43484
GRMZM2G702564	0.0639525	0	0	0.0639525
GRMZM2G136311	12.2365	5.68735	5.68735	12.2365
GRMZM2G054634	21.2997	52.8927	52.8927	21.2997
zma-MIR169a	10.3624	0	0	10.3624
AC201791.3_FG005	0	0	0	0
GRMZM5G848448	0	0	0	0
GRMZM2G158649	0	0.170976	0.170976	0
GRMZM2G149422	128.451	8.86136	8.86136	128.451
GRMZM2G104760	2.17375	1.47166	1.47166	2.17375
GRMZM5G820735	0	0	0	0
GRMZM2G078052	32.6077	24.836	24.836	32.6077
GRMZM2G361511	0	0	0	0
GRMZM2G092165	27.3752	13.7898	13.7898	27.3752
GRMZM2G381842	0.0119072	0.0105416	0.0105416	0.0119072
GRMZM2G058868	0.309302	1.04743	1.04743	0.309302
GRMZM2G034471	0.738628	5.03664	5.03664	0.738628
GRMZM2G042171	0.526948	1.16606	1.16606	0.526948
GRMZM2G181111	0	0	0	0
AC206951.3_FG016	4.01724	0.57384	0.57384	4.01724
GRMZM2G041955	2.021	1.58152	1.58152	2.021
GRMZM2G179800	8.70075	6.78786	6.78786	8.70075
GRMZM2G026597	0	0	0	0
GRMZM2G126545	65.2819	63.198	63.198	65.2819
GRMZM2G047607	9.93759	10.2586	10.2586	9.93759
GRMZM2G126239	6.52813	5.5347	5.5347	6.52813
GRMZM2G146866	0	0	0	0
GRMZM5G882189	0	0	0	0
GRMZM2G034868	27.5646	34.5357	34.5357	27.5646
GRMZM2G128322	0.914951	2.80162	2.80162	0.914951
GRMZM2G056501	86.8134	216.617	216.617	86.8134
GRMZM2G123922	131.301	48.453	48.453	131.301
GRMZM2G042582	41.6213	19.5291	19.5291	41.6213
GRMZM2G329909	3.17495	4.74601	4.74601	3.17495
GRMZM2G563732	3.23437	2.44826	2.44826	3.23437
GRMZM2G124207	0	0.0262546	0.0262546	0
GRMZM2G166337	0.0313717	0.313993	0.313993	0.0313717
GRMZM2G126936	0	0	0	0
GRMZM2G152757	27.0431	12.4612	12.4612	27.0431
GRMZM2G167649	3.99966	50.7681	50.7681	3.99966
GRMZM2G098214	8.1298	9.07983	9.07983	8.1298
GRMZM2G142964	6.19052	5.72795	5.72795	6.19052
